con,lab,lib,nat,ref,oth
0.492720370447624,0.156355596345584,0.278315464519628,0.0,0.0419256601727086,0.0306829085144549
0.153399416909621,0.53203498542274,0.238413994169096,0.0,0.0205481049562682,0.055603498542274
0.373893848528061,0.40995487488035,0.152292395147584,0.0,0.0302787599382703,0.0335801215057334
0.465733362050398,0.278785268145595,0.182726685332759,0.0,0.0326297652379926,0.0401249192332543
0.430886675375572,0.0521309601567602,0.475791966035271,0.0,0.0325359242325277,0.0086544741998693
0.403318979098834,0.355151769772083,0.194349333053251,0.0,0.035962608969646,0.0112173091061863
0.574036140913055,0.0670290222483623,0.317865617457967,0.0,0.0333015596162816,0.0077676597643336
0.485415051893302,0.220485093672609,0.220371665689926,0.0,0.0206627975121462,0.0530653912320169
0.160908891435258,0.498305580612917,0.297827729965624,0.0,0.0215520393982982,0.0214057585879025
0.524090928697753,0.171332441875512,0.213238148643402,0.0,0.0322650217832032,0.0590734590001294
0.29425637897733,0.377350818338924,0.223726745959134,0.0604655891023686,0.0167530751245298,0.0274473924977127
0.506270528515975,0.177110438083863,0.211704986563153,0.0,0.0319071791153009,0.0730068677217079
0.492322209831003,0.29261388007206,0.134961825512567,0.0,0.0485759629407223,0.0315261216436475
0.346207801611005,0.326545388722961,0.209385464747941,0.0,0.065164268259571,0.0526970766585211
0.435519804882625,0.335240730752093,0.145118547876457,0.0,0.0484510213175113,0.0356698951713139
0.251886846805324,0.504868352825949,0.186812237137754,0.0,0.0,0.056432563230973
0.543290503333011,0.0546613853733938,0.373123369722732,0.0,0.0248864843976427,0.0040382571732199
0.150971871666103,0.576305586635789,0.248002914313965,0.0,0.0017954255679009,0.022924201816242
0.141304347826087,0.57740203972088,0.233709071390231,0.0,0.0143048845947396,0.0332796564680622
0.417543403905269,0.351798934926614,0.153353249339741,0.0,0.0582759665757457,0.0190284452526302
0.342287656719053,0.369901112484549,0.193868091117782,0.0,0.015318735652481,0.0786244040261345
0.48628652858844,0.117203818298944,0.347180197942491,0.0,0.0383196361293848,0.0110098190407402
0.371810800017749,0.413830589696943,0.18531747792519,0.0,0.013133957492124,0.0159071748679948
0.291216582558285,0.360303624306627,0.329628393877466,0.0,0.0075071943946281,0.0113442048629937
0.489573924995091,0.127115648929904,0.310956214411938,0.0,0.0266836834871392,0.0456705281759277
0.456270363508593,0.320918247833216,0.145701569454205,0.0,0.0365851061564343,0.0405247130475521
0.545030705087391,0.13417815112243,0.270862001684159,0.0,0.0282815420320811,0.0216476000739386
0.458071176734129,0.0659173695385394,0.435124763815572,0.0,0.0200635019576523,0.0208231879541071
0.438069049801405,0.39232101028618,0.148670944087993,0.0,0.0175985334555453,0.0033404623688766
0.3810093881923,0.436141389956524,0.162077583853149,0.0,0.0207716379980257,0.0
0.281313738821191,0.42537001202866,0.170833115422833,0.0,0.0701323152554782,0.0523508184718372
0.466904851447913,0.197066566378338,0.259725878567548,0.0,0.0507500731269065,0.0255526304792946
0.412666583114008,0.366629067970088,0.159167815515729,0.0,0.0275514893261478,0.0339850440740276
0.510967359861513,0.17714051431565,0.233993121199007,0.0,0.0594720178575495,0.0184269867662802
0.296838421338882,0.552791506065407,0.0881080186336872,0.0,0.0,0.0622620539620232
0.32640553667841,0.163348689833441,0.458777177878301,0.0,0.0475704071209689,0.0038981884888786
0.504041835076461,0.198654110587941,0.233863910996291,0.0,0.0253552231342972,0.0380849202050085
0.428196593863123,0.425888583853648,0.125045552829134,0.0,0.0208692694540948,0.0
